PAPEL	SEGMENTO	COTAÇÃO	FFO YIELD	DIVIDEND YIELD	P/VP	VALOR DE MERCADO	LIQUIDEZ	QTD DE IMÓVEIS	PREÇO DO M2	ALUGUEL POR M2	CAP RATE	VACÂNCIA MÉDIA
ERPA11	Lajes Corporativas	134,00	7,08%	7,26%	0,84	67.123.600	3.455	1	19.877,30	1.581,46	7,96%	0,00%	""
EURO11	Logística	223,87	10,50%	10,03%	0,68	85.951.800	30.335	7	725,80	84,50	11,64%	0,00%	""
EVBI11	Híbrido	9,50	3,72%	6,37%	0,97	546.183.000	0	12	6.083,81	230,97	3,80%	0,45%	""
EXES11	Títulos e Val. Mob.	9,40	9,48%	11,77%	0,98	66.791.200	7.165	0	0,00	0,00	0,00%	0,00%	""
FAED11	Outros	133,75	13,58%	13,86%	0,61	92.605.400	46.543	4	2.021,35	290,59	14,38%	0,00%	""
FAMB11	Lajes Corporativas	753,00	-4,96%	67,24%	0,40	92.271.100	121.916	1	1.518,55	56,74	3,74%	89,31%	""
FATN11	Híbrido	77,19	9,87%	13,08%	0,78	278.564.000	671.482	51	20.603,00	2.060,63	10,00%	4,61%	""
FCFL11	Outros	109,00	9,42%	9,29%	0,89	378.667.000	351.061	1	12.133,40	1.194,00	9,84%	0,00%	""
FEXC11	Títulos e Val. Mob.	83,50	1,31%	0,00%	8,47	8.310.020.000	0	0	0,00	0,00	0,00%	0,00%	""
FFCI11	Lajes Corporativas	182,03	2,95%	0,00%	0,90	671.817.000	0	9	17.292,30	1.142,82	6,61%	1,77%	""
FGAA11	Híbrido	7,59	15,94%	16,25%	0,79	342.168.000	1.097.430	0	0,00	0,00	0,00%	0,00%	""
FIGS11	Shoppings	41,97	12,45%	12,19%	0,55	119.614.000	139.503	2	1.840,53	245,23	13,32%	5,78%	""
FIIB11	Híbrido	487,34	9,07%	8,81%	1,02	333.828.000	211.929	11	601,40	60,99	10,14%	0,00%	""
