PAPEL	COTAÇÃO	P/L	P/VP	PSR	DIV.YIELD	P/ATIVO	P/CAP.GIRO	P/EBIT	P/ATIV CIRC.LIQ	EV/EBIT	EV/EBITDA	MRG EBIT	MRG. LÍQ.	LIQ. CORR.	ROIC	ROE	LIQ.2MESES	PATRIM. LÍQ	DÍV.LÍQ/ PATRIM.	CRESC. REC.5A	DÍVIDA LÍQUIDA/EBITDA	VALOR DE MERCADO
SDIA4	6,42	-1,59	9,41	0,397	0,00%	0,418	-3,29	9,53	-0,83	23,15	23,15	4,16%	-25,09%	0,78	5,89%	-590,66%	0	459.230.000	17,27	13,42%	13,61	4.320.350.000
SDIA3	6,42	-1,59	9,41	0,397	0,00%	0,418	-3,29	9,53	-0,83	23,15	23,15	4,16%	-25,09%	0,78	5,89%	-590,66%	0	459.230.000	17,27	13,42%	13,61	4.320.350.000
DUQE3	28,00	-1,58	-11,29	12,103	0,00%	0,428	-0,74	-1,65	-0,57	-2,70	-2,98	-732,92%	-767,60%	0,33	-28,21%	715,74%	0	-6.987.000	-7,19	-42,70%	-1,16	78.848.000
SNSY5	4,57	-1,55	-0,02	0,037	0,00%	0,064	-1,21	1,04	-0,02	6,50	4,29	3,57%	-2,25%	0,92	7,06%	1,16%	18.028	-1.968.400.000	-0,10	15,05%	3,60	35.262.100
CSAN3	7,37	-1,46	1,26	0,313	6,15%	0,097	1,07	1,48	-0,19	7,51	4,28	21,15%	-18,57%	1,72	7,80%	-86,43%	198.023.000	10.903.800.000	6,69	32,58%	3,44	13.756.600.000
NTCO3	9,20	-1,43	0,82	0,531	0,35%	0,345	2,31	5,35	-2,02	6,35	4,52	9,92%	-37,07%	1,58	9,08%	-56,98%	196.734.000	15.671.400.000	0,44	-11,85%	0,71	12.793.700.000
GPIV33	3,81	-1,35	0,18	-1,955	0,00%	0,091	0,85	-1,23	-11,58	0,62	0,62	158,45%	272,86%	2,93	-8,70%	-13,00%	80.352	1.467.930.000	0,03	-55,05%	1,86	258.070.000
SPRI5	8,52	-1,30	0,96	0,000	0,00%	0,927	1,81	-2,49	1,91	-2,14	-2,15	0,00%	0,00%	66,47	-42,86%	-73,82%	0	22.420.000	0,00	-7,33%	0,35	21.547.100
IDVL4	2,67	-1,26	1,16	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	-91,76%	0	237.683.000	0,00	0,00%	""	274.535.000
BIED3	3,42	-1,25	0,97	0,255	0,00%	0,171	-0,80	-10,85	-0,26	-15,81	15,44	-2,35%	-20,96%	0,32	-1,64%	-77,07%	13.726	93.476.000	0,61	16,54%	4,84	90.255.800
PMET6	0,20	-1,21	-0,05	1,390	0,00%	9,307	-0,07	27,69	-0,05	441,57	441,57	5,02%	-114,49%	0,01	38,97%	4,10%	0	-290.863.000	-0,74	37,74%	413,88	14.482.000
SUZA4	13,90	-1,14	0,25	0,051	0,00%	0,014	0,14	0,17	-0,03	5,67	3,46	30,45%	-14,96%	1,72	10,46%	-21,90%	0	9.640.780.000	10,52	12,28%	3,36	2.403.690.000
ESTR4	3,40	-1,13	-0,05	0,178	0,00%	0,084	-0,04	-14,02	-0,04	-65,33	-1.562,34	-1,27%	-15,71%	0,14	-0,63%	4,38%	761	-553.740.000	-0,18	1,09%	-1.227,15	27.485.600
